country,Rank,CPI2015,wbcode,World Bank CPIA,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,Number of Sources,Std Deviation of Sources,Standard Error,Minimum,Maximum,Lower CI,Upper CI
Afghanistan,166,11,AFG,12.0,,19.0,,,,2.0,,,11.0,,,4,6.98,3.49,2,19,5.2415,16.758499999999998
Albania,88,36,ALB,,49.0,36.0,,,,18.0,41.0,38.0,32.0,,37.0,7,9.48,3.58,18,49,30.093,41.907
Algeria,88,36,DZA,,34.0,36.0,,,,,31.0,38.0,42.0,,,5,4.15,1.86,31,42,32.931,39.069
Angola,163,15,AGO,,17.0,15.0,,,,,12.0,21.0,11.0,,,5,4.02,1.8,11,21,12.030000000000001,17.97
Argentina,107,32,ARG,,28.0,36.0,,25.0,,37.0,31.0,38.0,32.0,,,7,4.86,1.84,25,38,28.964,35.036
Armenia,95,35,ARM,,45.0,28.0,,,,,31.0,,32.0,,37.0,5,6.66,2.98,28,45,30.083,39.917
Australia,13,79,AUS,,81.0,,,82.0,81.0,81.0,79.0,71.0,83.0,74.0,,8,4.24,1.5,71,83,76.525,81.475
Austria,16,76,AUT,,77.0,,,70.0,81.0,81.0,79.0,71.0,73.0,,,7,4.65,1.76,70,81,73.096,78.904
Azerbaijan,119,29,AZE,,37.0,23.0,,,,,21.0,38.0,32.0,,21.0,6,7.97,3.25,21,38,23.6375,34.3625
Bahrain,50,51,BHR,,80.0,36.0,,,,,50.0,38.0,52.0,,,5,17.58,7.86,36,80,38.031,63.969
Bangladesh,139,25,BGD,23.0,19.0,23.0,,,,16.0,50.0,21.0,22.0,,,7,11.36,4.29,16,50,17.9215,32.0785
Belarus,107,32,BLR,,,28.0,,,,52.0,31.0,21.0,32.0,,26.0,6,10.71,4.37,21,52,24.7895,39.210499999999996
Belgium,15,77,BEL,,79.0,,,77.0,81.0,76.0,79.0,71.0,73.0,,,7,3.55,1.34,71,81,74.789,79.211
Benin,83,37,BEN,47.0,25.0,32.0,47.0,,,,,,32.0,,,5,9.91,4.43,25,47,29.6905,44.3095
Bhutan,27,65,BTN,70.0,60.0,66.0,,,,,,,63.0,,,4,4.27,2.14,60,70,61.469,68.531
Bolivia,99,34,BOL,47.0,25.0,36.0,,,,20.0,31.0,38.0,42.0,,,7,9.48,3.58,20,47,28.093,39.907
Bosnia and Herzegovina,76,38,BIH,,32.0,40.0,,,,34.0,,38.0,42.0,,42.0,6,4.2,1.71,32,42,35.1785,40.8215
Botswana,28,63,BWA,,59.0,58.0,,,,58.0,69.0,71.0,63.0,,,6,5.76,2.35,58,71,59.1225,66.8775
Brazil,76,38,BRA,,25.0,62.0,,25.0,,34.0,31.0,38.0,52.0,,,7,13.99,5.29,25,62,29.2715,46.7285
Bulgaria,69,41,BGR,,38.0,53.0,,32.0,49.0,32.0,41.0,38.0,42.0,,47.0,9,7.28,2.43,32,53,36.9905,45.0095
Burkina Faso,76,38,BFA,47.0,29.0,32.0,45.0,,,28.0,41.0,,42.0,,,7,7.87,2.97,28,47,33.0995,42.9005
Burundi,150,21,BDI,23.0,28.0,19.0,25.0,,,,,,11.0,,,5,6.57,2.94,11,28,16.149,25.851
Cambodia,150,21,KHM,12.0,35.0,15.0,,,,10.0,,21.0,22.0,35.0,,7,10.24,3.87,10,35,14.6145,27.3855
Cameroon,130,27,CMR,23.0,30.0,28.0,45.0,,,14.0,31.0,21.0,22.0,,,8,9.22,3.26,14,45,21.621000000000002,32.379
Canada,9,83,CAN,,79.0,,,79.0,81.0,79.0,89.0,88.0,83.0,,,7,4.31,1.63,79,89,80.3105,85.6895
Cape Verde,40,55,CPV,70.0,49.0,,60.0,,,,,,42.0,,,4,12.31,6.16,42,70,44.836,65.164
Central African Republic,145,24,CAF,23.0,,28.0,22.0,,,,,,22.0,,,4,2.87,1.44,22,28,21.624,26.376
Chad,147,22,TCD,23.0,16.0,19.0,30.0,,,,,,22.0,,,5,5.24,2.34,16,30,18.139,25.861
Chile,23,70,CHL,,66.0,75.0,,60.0,65.0,68.0,79.0,71.0,73.0,,,8,6.09,2.15,60,79,66.4525,73.5475
China,83,37,CHN,,49.0,36.0,,39.0,,28.0,31.0,38.0,32.0,41.0,,8,6.63,2.34,28,49,33.139,40.861
Colombia,83,37,COL,,36.0,45.0,,31.0,,33.0,41.0,38.0,32.0,,,7,5.13,1.94,31,45,33.799,40.201
