country,"GDP per cap, PPP"
Afghanistan,61132547122.9643
Albania,32151736049.6334
Algeria,552609735401.293
Angola,152477494308.397
Antigua and Barbuda,2006791858.61138
Arab World,6157790434823.41
Armenia,24258831575.955
Aruba,3671232222.3658104
Australia,1077876758733.47
Austria,407488547351.22705
Azerbaijan,167060963449.105
"Bahamas, The",8998371151.65021
Bahrain,61968145298.4685
Bangladesh,496758428046.52203
Barbados,4550463946.66514
Belarus,172210703774.896
Belgium,487824567598.33704
Belize,2960246534.69503
Benin,21516703864.2467
Bermuda,3402639659.10356
Bhutan,5979045312.08707
Bolivia,70023357901.2547
Bosnia and Herzegovina,39805250328.4324
Botswana,35739373871.6303
Brazil,3275227247396.54
Brunei Darussalam,29712111131.8222
Bulgaria,124306334261.42699
Burkina Faso,28486420790.3168
Burundi,8327707521.906079
Cape Verde,3350426695.0049
Cambodia,50010187064.8871
Cameroon,67686481733.97099
Canada,1601799527771.99
Caribbean small states,106824235582.66301
Cayman Islands,2823463451.74062
Central African Republic,2854553718.71588
Central Europe and the Baltics,2538062828403.59
Chad,29647550191.624
Chile,392041113246.33203
China,18017072919507.4
Colombia,638356789320.285
Comoros,1100531416.22397
"Congo, Dem. Rep.",55844108793.4396
"Congo, Rep.",28276523015.6873
Costa Rica,70974333846.9381
Cote d'Ivoire,72193008164.3369
Croatia,91697894707.8663
Cuba,234193041471.328
Cyprus,25826741996.4257
Czech Republic,328242194833.479
Denmark,256758954335.87698
Djibouti,2865449040.57025
Dominica,786877009.1338481
Dominican Republic,138006693872.949
East Asia & Pacific (all income levels),33647888865132.1
East Asia & Pacific (developing only),24091730939467.3
Ecuador,180842611839.179
"Egypt, Arab Rep.",943529295037.5359
El Salvador,51006165815.5088
Equatorial Guinea,28516791412.3489
Eritrea,6758835465.49469
Estonia,36991216691.9912
Ethiopia,145414752149.301
Euro area,13304843596349.4
Europe & Central Asia (all income levels),26208380671740.2
Europe & Central Asia (developing only),3754819500932.41
European Union,18755033967684.4
Fiji,7794005747.39398
Finland,222151965205.453
Fragile and conflict affected situations,1686026609861.42
France,2604193431780.1
Gabon,32791696745.9504
"Gambia, The",3143924269.75326
Georgia,34149997945.9084
Germany,3757092104907.1
Ghana,109334081602.385
Greece,291859469601.708
Grenada,1321385459.63511
Guatemala,119384016547.606
Guinea,14991877564.188
Guinea-Bissau,2494670993.18191
Guyana,5234095778.500999
Haiti,18308620060.2245
Heavily indebted poor countries (HIPC),1472226406205.0
High income,56657867920712.0
High income: OECD,46083183549296.6
High income: nonOECD,10730230244907.1
Honduras,39081348854.5126
"Hong Kong SAR, China",398903681445.806
Hungary,247258673490.933
Iceland,14402788177.5269
India,7384098903973.73
Indonesia,2676109258365.92
"Iran, Islamic Rep.",1352085054016.16
Iraq,524173779029.757
Ireland,227983995914.16898
Israel,276897229113.662
Italy,2155752853816.78
Jamaica,24152366189.2515
Japan,4655493564113.01
Jordan,79616417860.0026
Kazakhstan,418878509417.377
Kenya,132530497155.261
Kiribati,199843758.988976
"Korea, Rep.",1683897888107.69
Kosovo,16615557798.0245
Kuwait,274899856055.18396
Kyrgyz Republic,19382497745.7446
Lao PDR,35592859176.7119
Latin America & Caribbean (all income levels),9826295168999.38
Latin America & Caribbean (developing only),7603879167826.4
Latvia,46949430384.6068
Least developed countries: UN classification,2069941730374.24
Lebanon,79396692178.849
Lesotho,5564724725.6854105
Liberia,3703596982.86945
Libya,97622066833.8945
Lithuania,81185173649.4126
Low & middle income,52278139037110.2
Low income,989349146075.955
Lower middle income,17359176383063.7
Luxembourg,54774901730.5945
"Macao SAR, China",80773460449.5101
"Macedonia, FYR",28068618345.6157
Madagascar,33928262552.2595
Malawi,13716940874.2999
Malaysia,766644981610.8441
Maldives,5024399096.51174
Mali,27324200185.6615
Malta,12500391471.0482
Marshall Islands,201154463.050729
Mauritania,15528207926.3037
Mauritius,23434983928.3007
Mexico,2171020370397.7
"Micronesia, Fed. Sts.",346520937.572469
Middle East & North Africa (all income levels),7606772499360.81
Middle East & North Africa (developing only),4335052998888.64
Middle income,51298660492245.9
Moldova,17720261360.7927
Mongolia,34760320858.5194
Montenegro,9361178266.769459
Morocco,258295681177.751
Mozambique,30736659575.0975
Namibia,23921708644.6589
Nepal,66892835546.7443
Netherlands,813792866343.083
New Zealand,169921021392.742
Nicaragua,29578055571.1586
Niger,17923782016.8917
Nigeria,1049101924597.69
North America,19024331159026.8
Norway,337054109833.41
OECD members,49756727133464.0
Oman,163641808430.486
Other small states,199518647781.69
Pacific island small states,12554451730.8512
Pakistan,890315208211.223
Palau,311321490.537421
Panama,80811073456.3397
Papua New Guinea,21306634684.5422
Paraguay,58391810851.7787
Peru,371334941442.935
Philippines,690894464568.744
Poland,960235425940.087
Portugal,299134379737.404
Puerto Rico,125630265378.54901
Qatar,305499134442.031
Romania,405015302556.67
Russian Federation,3358561167035.86
Rwanda,18833245236.0739
Samoa,1110599458.5597801
São Tomé and Príncipe,591869648.178209
Saudi Arabia,1606414540128.72
Senegal,34232612022.7706
Serbia,96917553631.9279
Seychelles,2414968238.34309
Sierra Leone,12417276655.9865
Singapore,452690857402.323
Sint Maarten (Dutch part),1214600998.53945
Slovak Republic,153491435733.46802
Slovenia,62689746153.6522
Small states,318985738464.778
Solomon Islands,1218975360.46764
South Africa,704686447969.6791
South Asia,9140971185583.53
South Sudan,24047201328.0283
Spain,1562939556109.31
Sri Lanka,230769818273.755
St. Kitts and Nevis,1276870573.84302
St. Lucia,1971069833.27732
St. Vincent and the Grenadines,1173136086.44427
Sub-Saharan Africa (all income levels),3423252530393.88
Sub-Saharan Africa (developing only),3391871143059.36
Sudan,160129848957.763
Suriname,8955141744.2085
Swaziland,10523588150.4991
Sweden,439204270566.03204
Switzerland,487517767041.142
Tajikistan,22322055383.5321
Tanzania,127690859691.87401
Thailand,1065673194790.51
Timor-Leste,2699317325.99243
Togo,10166292676.3546
Tonga,550220381.781979
Trinidad and Tobago,43299057266.0345
Tunisia,125753028004.248
Turkey,1502523213769.79
Turkmenistan,82121218423.3578
Tuvalu,37250134.887045704
Uganda,66908235113.5959
Ukraine,370533589131.58704
United Arab Emirates,614896592520.7
United Kingdom,2597421223924.82
United States,17419000000000.0
Upper middle income,34004878285626.2
Uruguay,71414080007.2057
Uzbekistan,171416127715.87198
Vanuatu,784559997.611172
"Venezuela, RB",553310362409.7
Vietnam,510714838616.985
West Bank and Gaza,19364673167.1748
World,108681342985070.0
"Yemen, Rep.",96633974186.5592
Zambia,61376523104.379005
Zimbabwe,27313163339.6617
