country,SI.POV.GINI - Gini Index
Albania,28.96
Algeria,35.33
Angola,42.72
Argentina,42.28
Armenia,31.54
Australia,34.94
Austria,30.48
Azerbaijan,16.64
Bangladesh,31.98
Belarus,26.01
Belgium,27.59
Belize,53.26
Benin,43.44
Bhutan,38.65
Bolivia,48.06
Bosnia and Herzegovina,33.04
Botswana,60.46
Brazil,52.87
Bulgaria,36.01
Burkina Faso,39.76
Burundi,33.36
Cape Verde,47.19
Cambodia,30.76
Cameroon,42.82
Canada,33.68
Central African Republic,56.24
Chad,43.32
Chile,50.45
China,42.06
Colombia,53.49
Comoros,55.93
"Congo, Dem. Rep.",42.1
"Congo, Rep.",40.16
Costa Rica,49.18
Cote d'Ivoire,43.18
Croatia,31.98
Cyprus,34.31
Czech Republic,26.13
Denmark,29.08
Djibouti,45.13
Dominican Republic,47.07
Ecuador,47.29
"Egypt, Arab Rep.",30.75
El Salvador,43.51
Estonia,33.15
Ethiopia,33.17
Fiji,42.78
Finland,27.12
France,33.1
Gabon,42.18
"Gambia, The",47.33
Georgia,40.03
Germany,30.13
Ghana,42.77
Greece,36.68
Guatemala,52.35
Guinea,33.73
Guinea-Bissau,50.66
Guyana,44.55
Haiti,60.79
Honduras,53.67
Hungary,30.55
Iceland,26.94
India,33.9
Indonesia,35.57
"Iran, Islamic Rep.",37.35
Iraq,29.54
Ireland,32.52
Israel,42.78
Italy,35.16
Jamaica,45.46
Japan,32.11
Jordan,33.66
Kazakhstan,26.35
Kenya,48.51
Kiribati,37.61
Kosovo,26.71
Kyrgyz Republic,27.37
Lao PDR,37.89
Latvia,35.48
Lesotho,54.18
Liberia,36.48
Lithuania,35.15
Luxembourg,34.79
"Macedonia, FYR",44.05
Madagascar,40.63
Malawi,46.12
Malaysia,46.26
Maldives,36.78
Mali,33.04
Mauritania,37.48
Mauritius,35.84
Mexico,48.07
"Micronesia, Fed. Sts.",61.18
Moldova,28.53
Mongolia,33.75
Montenegro,33.19
Morocco,40.72
Mozambique,45.58
Namibia,60.97
Nepal,32.75
Netherlands,27.99
Nicaragua,45.73
Niger,31.45
Nigeria,42.97
Norway,25.9
Pakistan,29.59
Panama,51.67
Papua New Guinea,43.88
Paraguay,48.3
Peru,44.73
Philippines,43.04
Poland,32.39
Portugal,36.04
Romania,27.33
Russian Federation,41.59
Rwanda,51.34
Samoa,42.69
São Tomé and Príncipe,30.82
Senegal,40.28
Serbia,29.65
Seychelles,42.77
Sierra Leone,33.99
Slovak Republic,26.12
Slovenia,25.59
Solomon Islands,46.1
South Africa,63.38
Spain,35.89
Sri Lanka,38.58
St. Lucia,42.58
Sudan,35.39
Suriname,57.61
Swaziland,51.45
Sweden,27.32
Switzerland,31.64
Syrian Arab Republic,35.77
Tajikistan,30.77
Tanzania,37.78
Thailand,39.26
Timor-Leste,31.56
Togo,46.02
Tonga,38.1
Trinidad and Tobago,40.27
Tunisia,35.81
Turkey,40.17
Turkmenistan,40.77
Uganda,42.37
Ukraine,24.55
United Kingdom,32.57
United States,41.06
Uruguay,41.87
Uzbekistan,35.27
Vanuatu,37.18
"Venezuela, RB",46.94
Vietnam,38.7
West Bank and Gaza,34.46
"Yemen, Rep.",35.89
Zambia,55.62
