,social_p,social_p cont. lin. est. from ILO,social_p piecewise lin. est. from ILO,social_r,social_r cont. lin. est. from ILO,social_r piecewise lin. est. from ILO,Total public social protection expenditure and health expenditure (% GDP),Public health care (% GDP),Public social protection (% GDP),year,sanity
Afghanistan,,0.06744499194728737,0.1467667439007608,,0.043729253389863366,0.13538923849070023,5.6,3.61,1.99,2011.0,0
Albania,0.2629495641629598,,,0.17935972626416474,,,10.83,2.68,8.15,2011.0,0
Algeria,,0.18166088283289464,0.39531143080807934,,0.11778331566314958,0.18379877424000945,8.53,3.17,5.36,2011.0,0
Angola,,0.1572586746911625,0.342209895326397,,0.10196167624571156,0.17345608410959312,6.79,2.15,4.64,2011.0,0
Antigua and Barbuda,,0.10337046504483742,0.22494400447101529,,0.06702222253220265,0.15061597673825738,7.09,4.05,3.05,2011.0,-0.01
Argentina,0.2001534455359978,,,0.14264750646937888,,,18.13,5.34,12.79,2010.0,0
Armenia,0.5050600974072442,,,0.2457265032536369,,,8.61,1.65,6.97,2013.0,-0.01
Aruba,,0.27791403716972685,0.4450801488733994,,0.1801908933652661,0.22459494086553988,17.8,9.6,8.2,2009.0,0
Australia,0.578,,,0.126,,,18.16,7.61,10.55,2011.0,0
Austria,0.51716638,,,0.40816435,,,27.89,7.51,20.37,2011.0,0.01
Azerbaijan,0.8571289621356334,,,0.38777251599754,,,8.27,1.01,7.26,2011.0,0
"Bahamas, The",,0.09455855654921194,0.20576844999151891,,0.06130885274257226,0.14688111641338486,6.29,3.5,2.79,2011.0,0
Bahrain,,0.054566048761373206,0.1187409335076507,,0.035378943697326644,0.129930596477425,4.01,2.4,1.61,2010.0,0
Bangladesh,0.056762952438716034,,,0.0553770944413467,,,2.69,1.11,1.58,2011.0,0
Barbados,,0.23961612716950842,0.4353919532577899,,0.15535970927956483,0.20836266329974773,11.41,4.34,7.07,2010.0,0
Belarus,0.4917469369193375,,,0.3101703987921827,,,15.8,4.0,11.8,2011.0,0
Belgium,0.65117317,,,0.402522585,,,29.73,8.64,21.09,2011.0,0
Belize,,0.06778391150481143,0.14750426522689528,,0.04394899838177223,0.13553288696473376,5.76,3.76,2.0,2011.0,0
Benin,0.04725879624981513,,,0.07452986615849086,,,4.2,2.22,1.98,2010.0,0
Bhutan,,0.0735455439827204,0.16004212777118138,,0.047684663244222866,0.13797491102330423,5.2,3.03,2.17,2012.0,0
Bolivia,0.3472089336125369,,,0.2268693312429084,,,12.12,3.62,8.5,2010.0,0
Bosnia and Herzegovina,0.21952171315065594,,,0.12545992207249582,,,17.45,6.95,10.5,2011.0,0
Botswana,0.2327888197915706,,,0.04377653874540727,,,6.59,3.49,3.0,2010.0,0.1
Brazil,0.22567230651126025,,,0.2056113132070956,,,21.29,5.79,15.5,2010.0,0
Brunei Darussalam,,0.024063288584208056,0.05236401415554782,,0.01560189442552914,0.11700223381440472,2.31,1.6,0.71,2011.0,0
Bulgaria,0.66309464,,,0.404462695,,,17.2,4.31,12.88,2011.0,0.01
Burkina Faso,0.4946753901560933,,,0.3235166050780195,,,5.07,3.27,1.8,2011.0,0
Burundi,,0.06947850929243171,0.15119187185756763,,0.04504772334131653,0.13625112933490152,4.94,2.89,2.05,2010.0,0
Cambodia,0.02478883990859972,,,0.028243106138826062,,,2.23,1.45,0.79,2013.0,-0.01
Cameroon,0.149924286778418,,,0.029862131888120688,,,2.33,1.52,0.81,2010.0,0
Canada,0.631,,,0.14,,,18.63,7.97,10.66,2010.0,0
Cape Verde,,0.15217488132830168,0.33114707543437993,,0.09866550136707866,0.17130135699908977,6.87,2.38,4.49,2010.0,0
Central African Republic,,0.021013012566491542,0.04572632222033753,,0.013624189498349391,0.1096414816924286,2.55,1.93,0.62,2012.0,0
Chad,,0.010167586725721715,0.02212563978403429,,0.006592349757265834,0.05305232985117513,1.31,1.01,0.3,2010.0,0
Chile,,0.23046529911635885,0.43307707465936995,,0.14942659449802556,0.20448415450084179,10.43,3.63,6.8,2011.0,0
China,,0.18843927398337576,0.41006185733076883,,0.12217821550132678,0.18667174372068063,6.83,1.27,5.56,2010.0,0
Colombia,0.12269429867232788,,,0.08732756485972662,,,10.49,1.91,8.58,2010.0,0
"Congo, Dem. Rep.",0.012981287634021592,,,0.030175238221482683,,,3.48,2.76,0.73,2012.0,-0.01
"Congo, Rep.",0.1719690500661691,,,0.1521444160488617,,,2.79,1.39,1.4,2010.0,0
Cook Islands,,0.10133694769969309,0.22051887651420846,,0.06570375258074948,0.14975408589405603,6.74,3.75,2.99,2010.0,0
Costa Rica,0.4696688141506717,,,0.20280860501907427,,,15.45,6.57,8.88,2010.0,0
Cote d'Ivoire,,0.036603312212598174,0.07965230322252345,,0.023732459126157006,0.1223172273536464,1.95,0.87,1.08,2011.0,0
Croatia,0.549424,,,0.270493,,,20.96,6.18,14.78,2011.0,0
Cuba,,0.44398462035651487,0.4870909086225028,,0.28786593940060806,0.2949826931419839,22.8,9.7,13.1,2010.0,0
Cyprus,,0.6598763784993392,0.5417048962963371,,0.4278434992465526,0.3864867711013602,22.6,3.35,19.47,2011.0,-0.22
Czech Republic,0.40579885,,,0.450117368,,,20.78,6.69,14.09,2011.0,0
Denmark,0.67680752,,,0.353511483,,,30.58,7.61,22.98,2011.0,-0.01
Djibouti,,0.06608931371719115,0.1438166585962229,,0.04285027342222792,0.134814644594566,7.29,5.34,1.95,2007.0,0
Dominica,,0.1287894318591417,0.280258103931101,,0.08350309692536723,0.1613896122907743,7.99,4.19,3.8,2010.0,0
Dominican Republic,0.1917471414625228,,,0.11760695886439584,,,4.82,1.75,3.07,2010.0,0
Ecuador,0.2792929608576753,,,0.17364544512629726,,,4.37,2.07,2.3,2010.0,0
"Egypt, Arab Rep.",0.10013164023017088,,,0.11927926539328736,,,13.21,1.48,11.73,2011.0,0
El Salvador,0.18429042105884488,,,0.1773739959750223,,,7.77,3.8,3.97,2011.0,0
Equatorial Guinea,,0.011862184513342,0.025813246414706673,,0.007691074716810139,0.06189438482637098,2.78,2.43,0.35,2010.0,0
Eritrea,,0.01321786274343823,0.02876333171924458,,0.008570054684445584,0.06896802880652768,1.64,1.25,0.39,2011.0,0
Estonia,0.51851898,,,0.34896655,,,20.08,5.36,14.73,2010.0,-0.01
Ethiopia,,0.020674093008967488,0.04498880089420306,,0.01340444450644053,0.10787307069738943,3.17,2.56,0.61,2010.0,0
Fiji,,,,,,,,1.87,,,#VALEUR!
Finland,0.57169229,,,0.335617398,,,29.22,7.25,21.97,2011.0,0
France,0.49639142,,,0.37605085,,,32.02,8.23,23.78,2011.0,0.01
Gabon,0.22083996445867293,,,0.12165273695354185,,,,,,,
"Gambia, The",,0.016945977876202858,0.03687606630672382,,0.010987249595443057,0.08842054975195855,2.98,2.48,0.5,2010.0,0
Georgia,0.9832011784414144,,,0.5428108927360503,,,8.22,1.6,6.63,2012.0,-0.01
Germany,0.64378774,,,0.383320503,,,25.89,6.84,19.05,2011.0,0
Ghana,,0.08032393513320155,0.17479255429387092,,0.05207956308240009,0.14084788050397545,5.39,3.02,2.37,2010.0,0
Greece,0.38459209,,,0.496522668,,,24.41,5.54,18.87,2011.0,0
Grenada,,0.05558280743394537,0.12095349748605412,,0.03603817867305322,0.13036154189952567,4.27,2.63,1.64,2010.0,0
Guatemala,0.21925287935117188,,,0.10471864953838116,,,4.39,1.25,3.14,2011.0,0
Guinea,,0.01559029964610663,0.03392598100218591,,0.010108269627807613,0.08134690577180187,2.47,2.01,0.46,2010.0,0
Guinea-Bissau,,0.10608182150502989,0.23084417508009109,,0.06878018246747354,0.15176516453052585,5.44,2.31,3.13,2010.0,0
Guyana,,0.12540023628390115,0.2728828906697563,,0.08130564700627863,0.1599531275504386,8.18,4.48,3.7,2010.0,0
Haiti,,0.03592547309755006,0.0781772605702545,,0.023292969142339283,0.12202993040557929,3.27,2.21,1.06,2013.0,0
Honduras,0.2579741926798659,,,0.13477151366151952,,,4.39,3.45,0.94,2010.0,0
"Hong Kong SAR, China",,0.07625690044291286,0.16594229838025717,,0.04944262317949376,0.1391240988155727,5.17,2.92,2.25,2012.0,0
Hungary,0.912333,,,0.525706,,,22.87,5.14,17.74,2010.0,-0.01
Iceland,,0.3707779959313185,0.46857187983514303,,0.24040102114829406,0.2639546227507348,18.06,7.12,10.94,2011.0,0
India,,0.04812657716841611,0.10472802831109564,,0.03120378885105828,0.12720127547078736,2.39,0.96,1.42,2012.0,0.01
Indonesia,,0.054227129203849145,0.11800341218151622,,0.03515919870541778,0.1297869480033914,2.63,1.03,1.6,2010.0,0
"Iran, Islamic Rep.",,0.3623050069932171,0.4664284737254948,,0.23490739635057253,0.260363410899896,12.53,1.84,10.69,2010.0,0
Iraq,,0.1796273654877503,0.39088630285127246,,0.1164648457116964,0.18293688339580805,11.65,6.36,5.3,2010.0,-0.01
Ireland,0.78696066,,,0.483332488,,,23.72,6.39,17.34,2010.0,-0.01
Israel,,0.39619696274562277,0.4750020981640874,,0.2568818955414587,0.27472825830325176,16.02,4.33,11.69,2011.0,0
Italy,0.43236375,,,0.413812555,,,27.5,7.27,20.23,2011.0,0
Jamaica,0.26651858938195394,,,0.1474314747293658,,,4.42,2.82,1.61,2011.0,-0.01
Japan,,0.5676902588527958,0.5183846378233656,,0.3680728614473424,0.34741438616423226,23.56,6.81,16.75,2011.0,0
Jordan,0.24754125076743594,,,0.20254922683467025,,,12.11,3.31,8.8,2011.0,0
Kazakhstan,,0.1392959381423875,0.3031212650412698,,0.09031519167454194,0.1658427149858146,6.38,2.27,4.11,2011.0,0
Kenya,0.05486851859573319,,,0.07183448406098354,,,3.26,2.33,0.93,2013.0,0
Kiribati,,0.053549290088801035,0.11652836952924728,,0.03471970872160006,0.12949965105532432,10.1,8.52,1.58,2011.0,0
"Korea, Rep.",,0.17386573300984132,0.3783484403069864,,0.11272918084924577,0.18049485933723752,9.14,4.0,5.13,2011.0,0.01
Kosovo,,0.1287894318591417,0.280258103931101,,0.08350309692536723,0.1613896122907743,6.1,2.3,3.8,2009.0,0
Kuwait,,0.31214491247965664,0.45373950955637793,,0.20238513754806112,0.23910343674292944,11.44,2.23,9.21,2011.0,0
Kyrgyz Republic,0.7217599301569062,,,0.4621961027620737,,,9.58,3.83,5.75,2012.0,0
Lao PDR,0.03728431799420904,,,0.13347582175320616,,,1.74,1.22,0.52,2005.0,0
Latvia,0.616317,,,0.230291,,,14.91,2.63,12.27,2011.0,0.01
Lebanon,,0.012201104070866057,0.02655076774084115,,0.007910819708719001,0.06366279582141016,1.12,0.77,0.36,2011.0,-0.01
Lesotho,,0.0061005520354330284,0.013275383870420574,,0.003955409854359501,0.03183139791070508,8.16,7.98,0.18,2010.0,-2.77556E-16
Liberia,0.04503793391523511,,,0.12573070699110653,,,11.47,1.6,9.87,2005.0,0
Libya,,0.15048028354068138,0.3274594688037075,,0.09756677640753436,0.17058311462892195,6.55,2.11,4.44,2010.0,0
Lithuania,0.810897,,,0.314705,,,16.26,4.06,12.2,2011.0,0
Luxembourg,,0.5602340285872666,0.5164984404468753,,0.3632384716253475,0.3442541197354938,23.02,6.49,16.53,2010.0,0
"Macao SAR, China",,0.12777267318656954,0.2780455399526976,,0.08284386194964065,0.16095866686867355,5.12,1.35,3.77,2011.0,0
"Macedonia, FYR",,0.4568635635424291,0.4903488859091679,,0.2962162490931448,0.30044133515525884,17.56,4.08,13.48,2010.0,0
Madagascar,0.07554764626798254,,,0.1054161434005338,,,2.39,2.08,0.31,2010.0,0
Malawi,0.03189209342110269,,,0.03962894099199903,,,5.91,4.51,1.4,2007.0,0
Malaysia,0.1471422500216373,,,0.05773081708127114,,,2.99,1.99,1.0,2012.0,0
